company_type,financing_date,competitor_id,core_personnel,hhcTags,investors,hhc_province,hhc_one_tag_name,hhc_round,product_id,hhc_tags,logo,competitor_list,hasStore,hhc_city,stock_code,start_date,timestamp,brief,area,website,amount,company_id,business,hhc_tags_name,product_name,province_name,tags,investor,round,hhc_tag_length,company_name
local,1678852800,,"[{""desc"": ""刘端蓉，拍明芯城CEO。"", ""name"": ""刘端蓉"", ""keyNo"": ""pc8280e5c41ae8c0558c5dd295bb930b"", ""imgUrl"": """", ""position"": ""CEO""}]","[{'tagId': 705, 'lv': 2, 'tagName': '电子元件', 'parentid': 42}, {'tagId': 711, 'lv': 2, 'tagName': '金融科技', 'parentid': 44}, {'tagId': 40, 'lv': 1, 'tagName': '生命健康', 'parentid': None}, {'tagId': 73, 'lv': 2, 'tagName': '电商', 'parentid': 39}, {'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 39, 'lv': 1, 'tagName': '大消费', 'parentid': None}, {'tagId': 44, 'lv': 1, 'tagName': '地产金融', 'parentid': None}, {'tagId': 76, 'lv': 2, 'tagName': '物流', 'parentid': 39}, {'tagId': 142, 'lv': 2, 'tagName': '半导体', 'parentid': 42}, {'tagId': 713, 'lv': 2, 'tagName': '智能硬件', 'parentid': 42}, {'tagId': 90, 'lv': 2, 'tagName': '医疗器械', 'parentid': 40}, {'tagId': 91, 'lv': 2, 'tagName': '基因技术', 'parentid': 40}, {'tagId': 125, 'lv': 2, 'tagName': '物流地产', 'parentid': 44}, {'tagId': 703, 'lv': 2, 'tagName': '装备机械', 'parentid': 42}]",,广东省,,IPO,d7209035-fa35-4c96-829c-c4908eba3bd9,"[705, 711, 40, 73, 42, 39, 44, 76, 142, 713, 90, 91, 125, 703]",/d7/d7209035-fa35-4c96-829c-c4908eba3bd9.jpg,,False,深圳市,IZM.NASDAQ,1437321600,1678856701,"Iczoom（www.iczoom.com）是一个开放的撮合式半导体和电子零部件交易平台。Iczoom拍明芯城努力简化元器件流通贸易链条，
借助互联网实现垂直销售。买家提交询价信息后，平台瞬间智能匹配供货信息，或精准的将买家需求推送给有货源的卖家，快速促成在线交易。平台同时支持买家Bom集中采购、竞价招标和卖家的限时热卖。
 Iczoom通过软件技术手段实现买盘和卖盘在线智能匹配，一键下单模式，即 买家选择商品-智能匹配-放入购物车-确定交货地址-生成订单-
验货/开票-评价，全程在线完成。Iczoom开放所有的询价、报价和成交信息，供需求者们参考对比市场价格走势。
 平台汇集了原厂、授权代理商等的真实供货信息，借助互联网实时在线发布，同时为交易平台的用户提供免费的基于云计算的SAAS（软件即服务）平台，专业的服务团队为买卖双方完成交易全程的供应链综合服务，包括资金及货物交割、进出口报关报检、仓储物流、供应链金融等配套服务。",深圳市,https://www.iczoom.com/,600万美元,2418252fa4c47c4afc91a027eb2e9986,电子元器件交易服务平台,"[""电子元件"",""金融科技"",""生命健康"",""电商"",""先进制造"",""大消费"",""地产金融"",""物流"",""半导体"",""智能硬件"",""医疗器械"",""基因技术"",""物流地产"",""装备机械""]",拍明芯城,,"[""电子元器件"", ""智能硬件"", ""交易平台""]","[""公开发行""]",IPO(IZM.NASDAQ),10,深圳市拍明芯城电子有限公司
local,1678852800,,[],"[{'tagId': 40, 'lv': 1, 'tagName': '生命健康', 'parentid': None}, {'tagId': 89, 'lv': 2, 'tagName': '医药', 'parentid': 40}, {'tagId': 92, 'lv': 2, 'tagName': '医疗服务', 'parentid': 40}, {'tagId': 810, 'lv': 3, 'tagName': '肿瘤', 'parentid': 92}, {'tagId': 98, 'lv': 2, 'tagName': '疫苗', 'parentid': 40}]",,北京市,,IPO,3affa3cf-7f55-4a27-96bd-2b42f7f3a3aa,"[40, 89, 92, 810, 98]",/3a/3affa3cf-7f55-4a27-96bd-2b42f7f3a3aa.jpg,,False,北京市,833575.BJ,1208102400,1678854901,乳头瘤病毒及抗肿瘤药物研发商,北京市,https://www.klws.com/,2.94亿人民币,9281d30acce74e3407f9b6fd4e859501,乳头瘤病毒及抗肿瘤药物研发商,"[""生命健康"",""医药"",""医疗服务"",""肿瘤"",""疫苗""]",康乐卫士,,"[""精准医疗"", ""医疗"", ""抗肿瘤药物"", ""药物研发""]","[""公开发行""]",IPO(833575.BJ),3,北京康乐卫士生物技术股份有限公司
local,1678852800,,[],"[{'tagId': 40, 'lv': 1, 'tagName': '生命健康', 'parentid': None}, {'tagId': 90, 'lv': 2, 'tagName': '医疗器械', 'parentid': 40}, {'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 150, 'lv': 2, 'tagName': '智能制造', 'parentid': 42}, {'tagId': 161, 'lv': 2, 'tagName': '工业控制', 'parentid': 42}]",,江苏省,,B轮,2c8f920d3a3b945884fb532238e75c74,"[40, 90, 42, 150, 161]",/edited/2c8f920d3a3b945884fb532238e75c74_20230315102843_1.png,,False,苏州市,-,1503244800,1678854902,"烽禾升医疗成立于2017年，经营范围包含：医疗器械零部件、自动化设备、检测设备的设计、生产、销售;医疗器械的销售;货物及技术的进出口业务。第二类医疗器械生产;第二类医疗器械销售;劳动保护用品生产;劳动保护用品销售;日用口罩（非医用）生产;日用口罩（非医用）销售（依法须经批准的项目,经相关部门批准后方可开展经营活动）一般项目:第一类医疗器械生产;第一类医疗器械销售;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",苏州市,http://www.ksfhs.com/,超亿元人民币,235134a33f6c845e252ec211daff3487,工业4.0智能制造解决方案提供商,"[""生命健康"",""医疗器械"",""先进制造"",""智能制造"",""工业控制""]",烽禾升,,"[""锂电池"", ""自动化设备"", ""智能制造装备"", ""传统行业"", ""智能制造"", ""生产制造""]","[""昆山北部新城资产投资有限公司"",""瑞丞投资""]",B轮,3,烽禾升医疗设备（昆山）有限公司
local,1678852800,,[],"[{'tagId': 40, 'lv': 1, 'tagName': '生命健康', 'parentid': None}, {'tagId': 89, 'lv': 2, 'tagName': '医药', 'parentid': 40}, {'tagId': 91, 'lv': 2, 'tagName': '基因技术', 'parentid': 40}, {'tagId': 92, 'lv': 2, 'tagName': '医疗服务', 'parentid': 40}, {'tagId': 810, 'lv': 3, 'tagName': '肿瘤', 'parentid': 92}]",,江苏省,,A轮,f9f3cb827cc04177a4a258fb0b408a37,"[40, 89, 91, 92, 810]",,,False,苏州市,-,1601222400,1678847701,新景智源是一家TCR-T细胞治疗药物研发与产业化公司，通过自主研发的高通量抗原-抗原受体筛选技术，大量分析患者样本，从而建立抗原-抗原受体配对关系数据库，基于此数据库，该公司能够快速挑选出准确识别实体瘤的抗原受体（TCR），对肿瘤患者的T细胞进行编辑、扩增和功能鉴定，回输高特异性识别患者肿瘤表面抗原的T细胞，从而达到治疗肿瘤的目标。,苏州市,https://www.neowisebio.com/#front,约2亿元人民币,0765405b631df291b05a7055b9079751,实体瘤TCR-T免疫细胞治疗药物开发商,"[""生命健康"",""医药"",""基因技术"",""医疗服务"",""肿瘤""]",新景智源,,"[""医疗技术"", ""医疗"", ""免疫治疗"", ""生物制药"", ""医疗健康"", ""生物技术"", ""医疗咨询""]","[""元禾原点"",""泰福资本"",""远毅资本"",""中鑫资本"",""领军创投"",""格林美股份有限公司"",""同高资本""]",A+轮,3,新景智源生物科技（苏州）有限公司
local,1678852800,,[],"[{'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 146, 'lv': 2, 'tagName': '新材料', 'parentid': 42}, {'tagId': 45, 'lv': 1, 'tagName': '传统产业', 'parentid': None}, {'tagId': 176, 'lv': 2, 'tagName': '化工', 'parentid': 45}]",,广东省,,战略融资,0fa57afb-5699-467b-b2c8-3ab54b89f0b6,"[42, 146, 45, 176]",/0f/0fa57afb-5699-467b-b2c8-3ab54b89f0b6.jpg,,False,清远市,-,1187193600,1678867501,"公司位于广东省英德市,是一家集研发、生产、销售气凝胶复合隔热材料为一体的创新型技术企业,也是中国大规模工业化生产气凝胶隔热材料的领军企业。",清远市,https://www.ydalison.com/,超亿元人民币,e8d9a97e8f1b843b5fb2aa53163284f4,气凝胶绝热材料研发商,"[""先进制造"",""新材料"",""传统产业"",""化工""]",埃力生气凝胶,,"[""新材料"", ""先进制造"", ""材料研发"", ""防火材料"", ""石油化工""]","[""中石化""]",战略融资,2,广东埃力生科技股份有限公司
local,1678852800,,"[{""desc"": ""陈国华先生,1955年12月出生,中国国籍,无境外永久居留权,大专学历,工程师,龙湾区政协常委,中国制药装备行业协会理事,中国医药设备工程协会副会长。1976年9月至1988年11月,就职于温州永中农具机械厂;1988年12月至1996年7月,就职于温州亚光药用阀门厂,任经理;1996年8月至2015年11月,任职于温州亚光机械制造有限公司,任董事长兼总经理;现任温州亚光药用阀门厂执行董事、廊坊天宜投资有限公司执行董事兼总经理、温州亚光真空设备制造厂执行董事、山东华泰高山纺织科技有限公司董事、河北乐恒化工设备制造有限公司总经理、北京乐恒天宜科技有限公司总经理;现任股份公司董事长。"", ""name"": ""陈国华"", ""keyNo"": ""p46c6dbe49f61c1da202ade9a093cb8d"", ""imgUrl"": """", ""position"": ""董事长""}, {""desc"": ""张君笑女士,1985年12月出生,中国国籍,无境外永久居留权,本科学历。2009年6月至2010年12月,就职于温州市强顺钢管有限公司,任经理助理;2011年1月至2012年8月,就职于温州市龙湾永中金典量贩歌厅,任行政助理;2012年9月至2015年11月,就职于温州亚光机械制造有限公司,任总经理秘书;现任股份公司职工监事。"", ""name"": ""张君笑"", ""keyNo"": ""p88c8b3b72893bb7d996302b8744febd"", ""imgUrl"": """", ""position"": ""监事""}, {""desc"": ""张宪标先生,1965年11月出生,中国国籍,无境外永久居留权,高中学历。1984年11月至1987年9月,就职于沧河五金机械厂,任车工;1987年10月至1990年11月,就职于瓯海药用阀门厂,任业务经理;1990年12月至2000年12月,就职于瓯海县真空泵厂,任销售经理;2000年12月至今,就职于温州亚光真空设备制造厂,历任技术员、销售经理、经理;现任股份公司董事。"", ""name"": ""张宪标"", ""keyNo"": ""p993a72b193423469f531d8a60e9b5df"", ""imgUrl"": """", ""position"": ""监事会主席""}, {""desc"": ""陈静波先生,1981年6月出生,中国国籍,无境外永久居留权,硕士学历。2005年5月至2006年5月,就职于北京维亚泰克网络科技有限公司,任新战略执行专员;2006年6月至2009年1月,就职于山东华泰高山纺织科技有限公司,任总经理;2009年2月至2015年11月,就职于温州亚光机械制造有限公司,历任董事长助理、副总经理;现任河北乐恒化工设备制造有限公司董事长、北京乐恒天宜科技有限公司执行董事、山东华泰高山纺织科技有限公司董事;现任股份公司总经理。"", ""name"": ""陈静波"", ""keyNo"": ""pf6785eecf2e1dd4604d281f979bc627"", ""imgUrl"": """", ""position"": ""董事""}, {""desc"": ""-"", ""name"": ""张理威"", ""keyNo"": ""prf378418023e949582cb57c7dbe94bf"", ""imgUrl"": """", ""position"": ""董事""}, {""desc"": ""周成玉先生,1956年11月出生,中国国籍,无境外永久居留权,高中学历。1987年6月至1996年7月,就职于温州有机合成有限公司;1996年8月至2015年11月,就职于温州亚光机械制造有限公司;现任股份公司董事。"", ""name"": ""周成玉"", ""keyNo"": ""p9abb85fe7838499ff209f096dabb350"", ""imgUrl"": """", ""position"": ""董事""}, {""desc"": ""罗宗举先生,1976年6月出生,中国国籍,无境外永久居留权,本科学历,注册会计师、高级会计师。2000年7月至2004年1月,就职于禹州市人武部,任财务助理员;2004年2月至2008年10月,就职于天健光华会计师事务所,历任审计师、项目经理;2008年11月至2012年4月,就职于河南四方达超硬材料股份有限公司,任财务总监兼董事会秘书;2012年5月至2014年3月,就职于温州亚光机械制造有限公司,任财务总监;2014年4月至2015年10月,就职于北京中钢网信息股份有限公司,任财务总监兼董事会秘书;现任股份公司董事、财务总监、信息披露事务负责人。"", ""name"": ""罗宗举"", ""keyNo"": ""pcacdecc09ed6bd323c9d97770e2c3f4"", ""imgUrl"": """", ""position"": ""董事""}, {""desc"": ""林培高先生,1953年10月出生,中国国籍,无境外永久居留权,高中学历。1975年8月至1989年9月,就职于温州盲人福利机械厂,任车间主任;1996年8月至2015年11月任温州亚光机械制造有限公司监事;现任股份公司董事、技术总监。"", ""name"": ""林培高"", ""keyNo"": ""pcd109b2a9698bc57d1d564fcadeec8c"", ""imgUrl"": """", ""position"": ""董事""}, {""desc"": ""黄建财先生,1985年8月出生,中国国籍,无境外永久居留权,大专学历。2007年6月至2012年2月,就职于山东华泰高山有限公司;2012年3月至2015年11月,就职于温州亚光机械制造有限公司,任市场部经理;现任股份公司职工监事。"", ""name"": ""黄建财"", ""keyNo"": ""pcdc859e5982ee89166a84d930baaefc"", ""imgUrl"": """", ""position"": ""监事""}]","[{'tagId': 42, 'lv': 1, 'tagName': '先进制造', 'parentid': None}, {'tagId': 89, 'lv': 2, 'tagName': '医药', 'parentid': 40}, {'tagId': 40, 'lv': 1, 'tagName': '生命健康', 'parentid': None}, {'tagId': 703, 'lv': 2, 'tagName': '装备机械', 'parentid': 42}]",,浙江省,,IPO,3261a3d5-3f20-4b9c-bfbf-48fbdbd5d21d,"[42, 89, 40, 703]",/32/3261a3d5-3f20-4b9c-bfbf-48fbdbd5d21d.jpg,,False,温州市,603282.SH,839865600,1678854901,亚光科技主营业务为药用胶塞/铝盖清洗机、过滤洗涤干燥机等制药设备的研发、生产、销售和服务。主要产品有胶塞清洗机、铝盖清洗机、工业级过滤洗涤干燥机、结晶过滤洗涤干燥机、无菌袋转运、整体隔离转运、结晶罐、混合机。,温州市,https://www.china-yaguang.com/,6.03亿人民币,9b0e6e463fb79a21b4597483c3a3d384,制药设备生产商,"[""先进制造"",""医药"",""生命健康"",""装备机械""]",亚光股份,,"[""医疗设备"", ""机械设备"", ""药物研发"", ""零部件制造"", ""医疗器械""]","[""公开发行""]",IPO(603282.SH),2,浙江亚光科技股份有限公司
local,1678852800,,[],"[{'tagId': 43, 'lv': 1, 'tagName': '节能环保', 'parentid': None}, {'tagId': 171, 'lv': 2, 'tagName': '再生资源', 'parentid': 43}, {'tagId': 707, 'lv': 2, 'tagName': '电池', 'parentid': 43}, {'tagId': 897, 'lv': 3, 'tagName': '锂电池', 'parentid': 707}, {'tagId': 900, 'lv': 3, 'tagName': '电池回收', 'parentid': 707}]",,广东省,,B轮,b88ebf4e4cb041bea9d583f6e227e43c,"[43, 171, 707, 897, 900]",/b8/b88ebf4e4cb041bea9d583f6e227e43c.jpg,,False,深圳市,-,1326124800,1678856701,杰成新能源是一家新能源材料循环利用服务商，主要涉及镍、钴、废旧数码类锂电池、新能源汽车动力型锂电池，为用户提供锂电池及镍电池梯次利用、拆解和提炼服务。,深圳市,http://www.jcnico.com/,数亿元人民币,c81972c26c4840c1ec5953aa25c44fef,新能源材料循环利用服务商,"[""节能环保"",""再生资源"",""电池"",""锂电池"",""电池回收""]",杰成新能源,,"[""新能源材料"", ""环保材料"", ""传统行业"", ""电池回收""]","[""深创投"",""和荣资本"",""博云创投"",""阿里巴巴"",""弘湾资本"",""紫峰资本"",""龙岗金控"",""平陵集团"",""上海创新投""]",B轮,2,深圳市杰成镍钴新能源科技有限公司
local,1678852800,,"[{""desc"": ""张伟飞 ，中航睿智董事长。"", ""name"": ""张伟飞"", ""keyNo"": ""p4786b65d2a634a25c4945d113340593"", ""imgUrl"": """", ""position"": ""监事""}, {""desc"": ""张军飞，飞速创软创始人。"", ""name"": ""张军飞"", ""keyNo"": ""p6e8d775685a43ba49c17504d4bf9334"", ""imgUrl"": """", ""position"": ""经理""}]","[{'tagId': 38, 'lv': 1, 'tagName': '信息科技', 'parentid': None}, {'tagId': 56, 'lv': 2, 'tagName': '软件', 'parentid': 38}, {'tagId': 1023, 'lv': 2, 'tagName': '企业服务', 'parentid': 45}]",,广东省,,A轮,91c4de27-b7b5-48ac-872a-ba6e058484e6,"[38, 56, 1023]",/edited/91c4de27-b7b5-48ac-872a-ba6e058484e6_20211118094440_91c4de27-b7b5-48ac-872a-ba6e058484e6.png,,False,珠海市,-,1486656000,1678854901,飞速创软是一家低代码开发平台，专注于云原生全场景低代码及数字基础设施，涉及业务建模、前后端分离开发技术、云原生、微服务框架等。,珠海市,http://www.flydiy.cn,3000万人民币,f2c338b659096087208f8407a440419c,软件开发服务商,"[""信息科技"",""软件"",""企业服务""]",飞速创软,,"[""企业服务"", ""新一代信息技术"", ""企业IT服务"", ""软件开发""]","[""中新融创""]",A++轮,2,珠海飞速创软科技有限公司
